TITLE = "Experiment a"
VARIABLES = "X", "Y", "Ux", "Uy", "Ex", "Ey"
ZONE T="Mesh", ZONETYPE=FEQUADRILATERAL, N=8, E=4, DATAPACKING=POINT
0.0   0.0   0.0    0.0      -10      0
2.5   0.0   0.025  0.0       15      0
2.5   3.0   0.025  -0.009    10      0
0.0   2.0   0.0    -0.006   -15      0
0.5   0.5   0.005  -0.0015    0      0
2.0   0.75  0.02   -0.00225   0      0
1.75  1.75  0.0175 -0.00525   0      0
0.65  1.6   0.0065 -0.0048    0      0
# 单元连接（4个四边形单元，节点号从1开始）
1 5 8 4
5 6 7 8
2 3 7 6
1 2 6 5
